Date,Open,High,Low,Close,Adj Close,Volume
2015-04-27,57.299999,59.900002,56.070000,59.150002,59.150002,1528594
2015-05-04,59.299999,62.580002,58.139999,59.389999,59.389999,1899969
2015-05-11,59.430000,61.849998,58.419998,59.689999,59.689999,1740395
2015-05-18,59.849998,60.939999,57.090000,59.720001,59.720001,1328369
2015-05-25,60.049999,60.700001,56.509998,60.299999,60.299999,1437949
2015-06-01,60.290001,61.580002,56.830002,59.130001,59.130001,1832356
2015-06-08,58.959999,61.820000,57.860001,59.959999,59.959999,1804415
2015-06-15,59.900002,61.380001,58.730000,59.610001,59.610001,1203808
2015-06-22,59.439999,61.570000,58.759998,59.630001,59.630001,1358813
2015-06-29,58.840000,59.689999,56.500000,56.930000,56.930000,1238965
2015-07-06,54.900002,55.340000,50.580002,52.740002,52.740002,2234036
2015-07-13,52.150002,53.500000,50.139999,50.889999,50.889999,1639448
2015-07-20,50.759998,51.259998,47.720001,48.139999,48.139999,1299197
2015-07-27,48.000000,49.520000,46.680000,47.119999,47.119999,1560750
2015-08-03,46.860001,46.939999,43.700001,43.869999,43.869999,1785244
2015-08-10,43.580002,45.340000,41.349998,42.500000,42.500000,2259066
2015-08-17,42.180000,42.900002,39.860001,40.450001,40.450001,1379652
2015-08-24,40.299999,45.900002,37.750000,45.220001,45.220001,2412748
2015-08-31,45.000000,49.330002,43.209999,46.049999,46.049999,3085303
2015-09-07,45.820000,46.410000,43.360001,44.630001,44.630001,1826380
2015-09-14,44.779999,47.709999,43.590000,44.680000,44.680000,1661894
2015-09-21,44.970001,47.150002,43.709999,45.700001,45.700001,1572958
2015-09-28,45.380001,47.099998,43.970001,45.540001,45.540001,1794654
2015-10-05,45.650002,50.919998,45.209999,49.630001,49.630001,2342090
2015-10-12,49.509998,50.130001,45.230000,47.259998,47.259998,1791359
2015-10-19,47.270000,47.490002,44.200001,44.599998,44.599998,1600761
2015-10-26,44.740002,47.029999,42.580002,46.590000,46.590000,1994247
2015-11-02,46.430000,48.360001,44.110001,44.290001,44.290001,2085178
2015-11-09,44.520000,45.119999,40.220001,40.740002,40.740002,2462580
2015-11-16,40.919998,42.250000,38.990002,40.389999,40.389999,1714409
2015-11-23,41.490002,43.459999,40.410000,41.709999,41.709999,1646127
2015-11-30,41.770000,42.610001,39.599998,39.970001,39.970001,2337977
2015-12-07,40.099998,40.150002,35.160000,35.619999,35.619999,3068109
2015-12-14,35.400002,37.880001,34.290001,34.730000,34.730000,1739867
2015-12-21,34.580002,38.279999,33.980000,38.099998,38.099998,1180874
2015-12-28,38.000000,38.090000,36.220001,37.040001,37.040001,1014124
2016-01-04,37.599998,38.389999,32.099998,33.160000,33.160000,2619832
2016-01-11,32.939999,33.200001,29.129999,29.420000,29.420000,2780761
2016-01-18,29.200001,32.349998,26.190001,32.189999,32.189999,2208678
2016-01-25,32.049999,34.820000,29.250000,33.619999,33.619999,3439363
2016-02-01,33.830002,34.180000,29.400000,30.889999,30.889999,3323127
2016-02-08,30.969999,31.379999,26.049999,29.440001,29.440001,3594267
2016-02-15,29.080000,31.980000,28.700001,29.639999,29.639999,1559294
2016-02-22,29.719999,34.689999,29.480000,32.779999,32.779999,2970808
2016-02-29,32.720001,36.340000,32.320000,35.919998,35.919998,2767780
2016-03-07,36.200001,39.020000,36.090000,38.500000,38.500000,3423661
2016-03-14,38.169998,41.200001,35.959999,39.439999,39.439999,1858376
2016-03-21,39.060001,41.900002,38.330002,39.459999,39.459999,1930201
2016-03-28,39.549999,40.139999,36.630001,36.790001,36.790001,2409618
2016-04-04,36.610001,39.840000,35.240002,39.720001,39.720001,3230047
2016-04-11,39.720001,42.419998,39.250000,40.360001,40.360001,3215385
2016-04-18,38.750000,44.490002,37.610001,43.730000,43.730000,2486647
2016-04-25,43.750000,46.779999,42.500000,45.919998,45.919998,2904654
2016-05-02,45.900002,46.150002,43.220001,44.660000,44.660000,3242168
2016-05-09,45.000000,47.020000,43.029999,46.209999,46.209999,3581405
2016-05-16,46.279999,48.950001,46.150002,47.750000,47.750000,2011350
2016-05-23,48.459999,50.209999,47.400002,49.330002,49.330002,2396770
2016-05-30,49.540001,50.099998,47.750000,48.619999,48.619999,2091707
2016-06-06,48.880001,51.669998,48.709999,49.070000,49.070000,2805984
2016-06-13,48.849998,49.279999,45.830002,47.980000,47.980000,2224613
2016-06-20,48.290001,50.540001,46.700001,47.639999,47.639999,2194970
2016-06-27,47.810001,50.000000,45.830002,48.990002,48.990002,2428863
2016-07-04,49.110001,49.349998,44.770000,45.410000,45.410000,2510828
2016-07-11,45.070000,46.930000,44.419998,45.950001,45.950001,2882176
2016-07-18,46.119999,46.139999,43.689999,44.189999,44.189999,1741913
2016-07-25,44.200001,44.369999,40.570000,41.599998,41.599998,2315227
2016-08-01,41.349998,42.099998,39.189999,41.799999,41.799999,2871743
2016-08-08,41.990002,44.779999,41.099998,44.490002,44.490002,3081697
2016-08-15,44.740002,48.750000,44.380001,48.520000,48.520000,2028035
2016-08-22,48.400002,48.459999,46.419998,47.639999,47.639999,2759815
2016-08-29,47.220001,47.490002,43.000000,44.439999,44.439999,2504628
2016-09-05,44.150002,47.750000,43.840000,45.880001,45.880001,2955163
2016-09-12,45.570000,46.509998,42.740002,43.029999,43.029999,2877028
2016-09-19,43.180000,46.549999,42.549999,44.480000,44.480000,2650049
2016-09-26,44.619999,48.320000,44.189999,48.240002,48.240002,3365474
2016-10-03,48.040001,50.740002,47.779999,49.810001,49.810001,2658525
2016-10-10,49.570000,51.599998,49.150002,50.349998,50.349998,3245669
2016-10-17,50.230000,51.930000,49.470001,50.849998,50.849998,1844200
2016-10-24,50.849998,50.980000,48.419998,48.700001,48.700001,2949750
2016-10-31,48.250000,48.740002,43.570000,44.070000,44.070000,3435672
2016-11-07,44.450001,45.950001,43.029999,43.410000,43.410000,3539357
2016-11-14,43.200001,46.580002,42.200001,45.689999,45.689999,2509637
2016-11-21,45.830002,49.200001,45.770000,46.060001,46.060001,2514372
2016-11-28,45.430000,51.799999,44.820000,51.680000,51.680000,4420103
2016-12-05,51.459999,52.419998,49.610001,51.500000,51.500000,3492509
2016-12-12,52.580002,54.509998,49.950001,51.900002,51.900002,2967704
2016-12-19,52.150002,53.790001,51.509998,53.020000,53.020000,1697228
2016-12-26,53.290001,54.369999,53.029999,53.720001,53.720001,1231129
2017-01-02,54.200001,55.240002,52.110001,53.990002,53.990002,2286129
2017-01-09,53.750000,53.830002,50.709999,52.369999,52.369999,3152001
2017-01-16,52.549999,53.520000,50.910000,52.419998,52.419998,1532085
2017-01-23,53.330002,54.080002,52.209999,53.169998,53.169998,2638948
2017-01-30,53.150002,54.340000,52.240002,53.830002,53.830002,2605397
2017-02-06,53.810001,54.130001,51.220001,53.860001,53.860001,3023166
2017-02-13,53.799999,53.950001,52.680000,53.400002,53.400002,2081409
2017-02-20,53.480000,54.939999,53.349998,53.990002,53.990002,2089928
2017-02-27,54.020000,54.610001,52.540001,53.330002,53.330002,2554328
2017-03-06,53.189999,53.799999,48.310001,48.490002,48.490002,3832227
2017-03-13,48.450001,49.619999,47.090000,48.779999,48.779999,2804054
2017-03-20,48.700001,48.740002,47.009998,47.970001,47.970001,2372131
2017-03-27,48.119999,50.849998,47.080002,50.599998,50.599998,2625443
2017-04-03,50.689999,52.939999,49.880001,52.240002,52.240002,2893632
2017-04-10,52.310001,53.759998,52.290001,53.180000,53.180000,2274082
2017-04-17,52.970001,53.209999,49.200001,49.619999,49.619999,1955293
2017-04-24,49.680000,50.220001,48.200001,49.330002,49.330002,3166035
2017-05-01,49.169998,49.320000,43.759998,46.220001,46.220001,3723649
2017-05-08,46.349998,48.220001,45.529999,47.840000,47.840000,3506068
2017-05-15,47.849998,50.529999,47.750000,50.330002,50.330002,2315678
2017-05-22,50.599998,52.000000,48.180000,49.799999,49.799999,3796099
2017-05-29,49.930000,50.279999,46.740002,47.660000,47.660000,3019770
2017-06-05,47.709999,48.419998,45.200001,45.830002,45.830002,4381210
2017-06-12,45.799999,46.709999,44.220001,44.740002,44.740002,3067255
2017-06-19,44.680000,45.060001,42.049999,43.009998,43.009998,3449530
2017-06-26,43.160000,46.349998,42.630001,46.040001,46.040001,3620198
2017-07-03,46.279999,47.320000,43.779999,44.230000,44.230000,3636792
2017-07-10,44.349998,46.740002,43.650002,46.540001,46.540001,4314632
2017-07-17,46.680000,47.549999,45.540001,45.770000,45.770000,2399789
2017-07-24,45.619999,49.810001,45.400002,49.709999,49.709999,4133456
2017-07-31,49.849998,50.430000,48.369999,49.580002,49.580002,4221271
2017-08-07,49.590000,50.220001,47.980000,48.820000,48.820000,4553541
2017-08-14,48.790001,49.160000,46.459999,48.509998,48.509998,3210526
2017-08-21,48.720001,48.750000,47.029999,47.869999,47.869999,3173148
2017-08-28,47.889999,48.200001,45.580002,47.290001,47.290001,4511262
2017-09-04,47.279999,49.419998,47.150002,47.480000,47.480000,3078045
2017-09-11,47.580002,50.500000,47.000000,49.889999,49.889999,3300065
2017-09-18,49.849998,50.810001,49.189999,50.660000,50.660000,2141761
2017-09-25,50.680000,52.860001,50.389999,51.669998,51.669998,3401592
2017-10-02,51.639999,51.709999,49.099998,49.290001,49.290001,3060003
2017-10-09,49.250000,51.720001,49.130001,51.450001,51.450001,3218636
2017-10-16,51.430000,52.369999,50.700001,51.470001,51.470001,1946512
2017-10-23,52.070000,54.200001,51.549999,53.900002,53.900002,3300417
2017-10-30,54.160000,55.759998,53.750000,55.639999,55.639999,2830381
2017-11-06,55.970001,57.919998,55.660000,56.740002,56.740002,3739292
2017-11-13,56.900002,57.150002,54.810001,56.549999,56.549999,2239209
2017-11-20,56.689999,59.049999,55.570000,58.950001,58.950001,2627544
2017-11-27,58.950001,58.990002,56.750000,58.360001,58.360001,3398511
2017-12-04,58.320000,58.340000,55.820000,57.360001,57.360001,2947126
2017-12-11,57.250000,58.560001,56.090000,57.299999,57.299999,2881980
2017-12-18,57.369999,58.500000,56.820000,58.470001,58.470001,1708653
2017-12-25,58.400002,60.509998,58.320000,60.419998,60.419998,1650621
2018-01-01,60.200001,62.209999,60.099998,61.439999,61.439999,2401571
2018-01-08,61.610001,64.769997,61.340000,64.300003,64.300003,3714407
2018-01-15,64.430000,64.889999,62.849998,63.369999,63.369999,1659370
2018-01-22,63.610001,66.660004,63.169998,66.139999,66.139999,3625080
2018-01-29,66.180000,66.459999,63.669998,65.449997,65.449997,3501128
2018-02-05,65.099998,65.400002,58.070000,59.200001,59.200001,4581170
2018-02-12,59.119999,61.990002,58.200001,61.680000,61.680000,2489421
2018-02-19,61.630001,63.730000,60.750000,63.549999,63.549999,2314605
2018-02-26,63.599998,64.239998,60.130001,61.250000,61.250000,3226951
2018-03-05,61.549999,63.279999,59.950001,62.040001,62.040001,3493570
2018-03-12,62.099998,62.540001,60.110001,62.340000,62.340000,2583439
2018-03-19,62.230000,66.000000,61.360001,65.879997,65.879997,3039605
2018-03-26,65.900002,66.550003,63.720001,64.940002,64.940002,2517207
2018-04-02,64.910004,65.419998,61.810001,62.060001,62.060001,3212486
2018-04-09,62.000000,67.760002,61.930000,67.389999,67.389999,3770799
2018-04-16,67.239998,69.559998,65.559998,68.379997,68.379997,2118715
2018-04-23,68.220001,69.379997,67.110001,68.099998,68.099998,3540384
